"id","tagged_id","tagged_type","name","slug","uses","created_at","updated_at","deleted_at","synonyms"
262,205,"App\\Model\\Skill","EU MDR","eu-mdr",1,"2019-02-20 00:02:56","2019-02-20 00:02:59",NULL,NULL
263,206,"App\\Model\\Skill","CE Marking","ce-marking",1,"2019-02-20 00:02:56","2019-02-20 00:02:59",NULL,NULL
264,207,"App\\Model\\Skill","meddevice","meddevice",1,"2019-02-20 00:02:56","2019-02-20 00:02:59",NULL,NULL
265,208,"App\\Model\\Skill","medical technology","medical-technology",1,"2019-02-20 00:02:56","2019-02-20 00:02:59",NULL,NULL
266,209,"App\\Model\\Skill","augmented reality","augmented-reality",1,"2019-03-05 17:05:18","2019-03-05 17:05:19",NULL,NULL
267,210,"App\\Model\\Skill","virtual reality","virtual-reality",1,"2019-03-05 17:05:18","2019-03-05 17:05:19",NULL,NULL
268,211,"App\\Model\\Skill","mixed reality","mixed-reality",1,"2019-03-05 17:05:18","2019-03-05 17:05:19",NULL,NULL
269,212,"App\\Model\\Skill","spatial computing","spatial-computing",1,"2019-03-05 17:05:18","2019-03-05 17:05:19",NULL,NULL
270,213,"App\\Model\\Skill","oculus","oculus",1,"2019-03-05 17:05:18","2019-03-05 17:05:19",NULL,NULL
271,214,"App\\Model\\Skill","hololens","hololens",1,"2019-03-05 17:05:18","2019-03-05 17:05:19",NULL,NULL
272,215,"App\\Model\\Skill","apple","apple",1,"2019-03-05 17:05:18","2019-03-05 17:05:19",NULL,NULL
273,216,"App\\Model\\Skill","arkit","arkit",1,"2019-03-05 17:05:18","2019-03-05 17:05:19",NULL,NULL
274,217,"App\\Model\\Skill","arcore","arcore",1,"2019-03-05 17:05:18","2019-03-05 17:05:19",NULL,NULL
275,218,"App\\Model\\Skill","Collaborating","collaborating",1,"2019-03-19 21:39:42","2019-03-19 21:39:43",NULL,NULL
276,219,"App\\Model\\Skill","Inventing","inventing",1,"2019-03-19 21:39:42","2019-03-19 21:39:43",NULL,NULL
277,220,"App\\Model\\Skill","connecting","connecting",1,"2019-03-19 21:39:42","2019-03-19 21:39:43",NULL,NULL
278,221,"App\\Model\\Skill","creating","creating",1,"2019-03-19 21:39:42","2019-03-19 21:39:43",NULL,NULL
279,222,"App\\Model\\Skill","growth hacker","growth-hacker",1,"2019-03-19 21:39:42","2019-03-19 21:39:43",NULL,NULL
280,223,"App\\Model\\Skill","joint venture partner","joint-venture-partner",1,"2019-03-19 21:39:42","2019-03-19 21:39:43",NULL,NULL
281,224,"App\\Model\\Skill","affiliate partner","affiliate-partner",1,"2019-03-19 21:39:42","2019-03-19 21:39:43",NULL,NULL
282,225,"App\\Model\\Skill","Cryptocurrency","cryptocurrency",1,"2019-04-29 16:32:02","2019-04-29 16:32:03",NULL,NULL
283,226,"App\\Model\\Skill","Payments","payments",1,"2019-04-29 16:32:02","2019-04-29 16:32:03",NULL,NULL
284,227,"App\\Model\\Skill","Commerce","commerce",1,"2019-04-29 16:32:02","2019-04-29 16:32:03",NULL,NULL
285,228,"App\\Model\\Skill","Mobile Apps","mobile-apps",1,"2019-04-29 16:32:02","2019-04-29 16:32:03",NULL,NULL
286,229,"App\\Model\\Skill","Trade","trade",1,"2019-04-29 16:32:02","2019-04-29 16:32:03",NULL,NULL
287,230,"App\\Model\\Skill","Corporate Trade","corporate-trade",1,"2019-04-29 16:32:02","2019-04-29 16:32:03",NULL,NULL
288,231,"App\\Model\\Skill","Barter","barter",1,"2019-04-29 16:32:02","2019-04-29 16:32:03",NULL,NULL
289,232,"App\\Model\\Skill","Alternative Capital","alternative-capital",1,"2019-04-29 16:32:02","2019-04-29 16:32:03",NULL,NULL
290,233,"App\\Model\\Skill","Bilingual Spanish/English","bilingual-spanishenglish",1,"2019-05-01 00:42:11","2019-05-01 00:42:13",NULL,NULL
291,234,"App\\Model\\Skill","Consumer Engagement","consumer-engagement",1,"2019-05-01 19:42:11","2019-05-01 19:42:12",NULL,NULL
292,235,"App\\Model\\Skill","Consumer Journeys","consumer-journeys",1,"2019-05-01 19:42:11","2019-05-01 19:42:12",NULL,NULL
293,236,"App\\Model\\Skill","CRM","crm",2,"2019-05-01 19:42:11","2019-08-23 14:58:04",NULL,NULL
294,237,"App\\Model\\Skill","social CRM","social-crm",2,"2019-05-01 19:42:11","2019-08-23 14:58:04",NULL,NULL
295,238,"App\\Model\\Skill","Omnichannel marketing","omnichannel-marketing",1,"2019-05-01 19:42:11","2019-05-01 19:42:12",NULL,NULL
296,239,"App\\Model\\Skill","Behavior analysis","behavior-analysis",1,"2019-05-02 00:50:07","2019-05-02 00:50:09",NULL,NULL
297,240,"App\\Model\\Skill","autism","autism",1,"2019-05-02 00:50:07","2019-05-02 00:50:09",NULL,NULL
298,241,"App\\Model\\Skill","special needs","special-needs",1,"2019-05-02 00:50:07","2019-05-02 00:50:09",NULL,NULL
299,242,"App\\Model\\Skill","Streaming TV","streaming-tv",1,"2019-07-07 19:42:25","2019-07-07 19:42:26",NULL,NULL
300,243,"App\\Model\\Skill","Streaming TV Distribution","streaming-tv-distribution",1,"2019-07-07 19:42:25","2019-07-07 19:42:26",NULL,NULL
301,244,"App\\Model\\Skill","Roku Media Player","roku-media-player",1,"2019-07-07 19:42:25","2019-07-07 19:42:26",NULL,NULL
302,245,"App\\Model\\Skill","Roku Channel Developer","roku-channel-developer",1,"2019-07-07 19:42:25","2019-07-07 19:42:26",NULL,NULL
303,246,"App\\Model\\Skill","Data Architect","data-architect",1,"2019-07-16 14:31:23","2019-07-16 14:31:24",NULL,NULL
304,247,"App\\Model\\Skill","Data Visualization","data-visualization",1,"2019-07-16 14:31:23","2019-07-16 14:31:24",NULL,NULL
305,248,"App\\Model\\Skill","KPI Development","kpi-development",1,"2019-07-16 14:31:23","2019-07-16 14:31:24",NULL,NULL
306,249,"App\\Model\\Skill","xAPI Profile Designer","xapi-profile-designer",1,"2019-07-16 14:31:23","2019-07-16 14:31:24",NULL,NULL
307,250,"App\\Model\\Skill","XR Training Systems","xr-training-systems",1,"2019-07-16 14:31:23","2019-07-16 14:31:24",NULL,NULL
308,251,"App\\Model\\Skill","Database Design","database-design",1,"2019-07-16 14:37:00","2019-07-16 14:37:03",NULL,NULL
309,252,"App\\Model\\Skill","Report Automation","report-automation",1,"2019-07-16 14:37:00","2019-07-16 14:37:03",NULL,NULL
310,253,"App\\Model\\Skill","Dashboard Design","dashboard-design",1,"2019-07-16 14:37:00","2019-07-16 14:37:03",NULL,NULL
311,254,"App\\Model\\Skill","Computer Vision","computer-vision",1,"2019-07-16 14:37:00","2019-07-16 14:37:03",NULL,NULL
312,255,"App\\Model\\Skill","Data Governance","data-governance",1,"2019-07-16 14:37:00","2019-07-16 14:37:03",NULL,NULL
313,256,"App\\Model\\Skill","Tax Reduction","tax-reduction",1,"2019-08-06 12:37:24","2019-08-06 12:37:24",NULL,NULL
314,257,"App\\Model\\Skill","Retirement Plan Design","retirement-plan-design",1,"2019-08-06 12:37:24","2019-08-06 12:37:24",NULL,NULL
315,258,"App\\Model\\Skill","Tax-Free Income Plan Design","tax-free-income-plan-design",1,"2019-08-06 12:37:24","2019-08-06 12:37:24",NULL,NULL
316,259,"App\\Model\\Skill","Low Cost 401(k) Design","low-cost-401k-design",1,"2019-08-06 12:37:24","2019-08-06 12:37:24",NULL,NULL
317,260,"App\\Model\\Skill","Cash Balance Plan Design","cash-balance-plan-design",1,"2019-08-06 12:37:24","2019-08-06 12:37:24",NULL,NULL
318,261,"App\\Model\\Skill","Non Qualified Compensation Design","non-qualified-compensation-design",1,"2019-08-06 12:37:24","2019-08-06 12:37:24",NULL,NULL
319,262,"App\\Model\\Skill","Digital Strategy","digital-strategy",1,"2019-08-23 14:58:01","2019-08-23 14:58:04",NULL,NULL
320,263,"App\\Model\\Skill","Testing","testing",1,"2019-09-18 17:58:33","2019-09-18 17:58:36",NULL,NULL
321,264,"App\\Model\\Skill","Leadership Coaching","leadership-coaching",1,"2019-09-18 18:56:47","2019-09-18 18:56:48",NULL,NULL
322,265,"App\\Model\\Skill","Strategic Communications","strategic-communications",1,"2019-09-18 18:56:47","2019-09-18 18:56:48",NULL,NULL
323,266,"App\\Model\\Skill","Crisis Management","crisis-management",1,"2019-09-18 18:56:47","2019-09-18 18:56:48",NULL,NULL
324,267,"App\\Model\\Skill","Executive Data Analytics","executive-data-analytics",1,"2019-09-18 18:56:47","2019-09-18 18:56:48",NULL,NULL
